label,author,title,journal,doi,year,screened_titles,notes,search
Matsubara_2018_JOOFEXBO,"Matsubara, Shizue",Growing plants in fluctuating environments: why bother?,JOURNAL OF EXPERIMENTAL BOTANY,10.1093/jxb/ery312,2018,selected,background,WOS176
Mitz_2017_JOOFTHBI,"Mitz, Charles and Thome, Christopher and Thompson, Jeroen and Manzon, Richard G. and Wilson, Joanna Y. and Boreham, Douglas R.",A method to transform a variable thermal regime to a physiologically equivalent effective temperature,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.12.011,2017,selected,background,WOS176
Paaijmans_2013_GLOBCHANBIOL,"Paaijmans, Krijn P. and Heinig, Rebecca L. and Seliga, Rebecca A. and Blanford, Justine I. and Blanford, Simon and Murdock, Courtney C. and Thomas, Matthew B.",Temperature variation makes ectotherms more sensitive to climate change,GLOBAL CHANGE BIOLOGY,10.1111/gcb.12240,2013,selected,background,WOS176
Rajakaruna_2017_JOOFTHBI,"Rajakaruna, Harshana and Lewis, Mark",Temperature cycles affect colonization potential of calanoid copepods,JOURNAL OF THEORETICAL BIOLOGY,10.1016/j.jtbi.2017.01.044,2017,selected,background,WOS176
Rollinson_2018_JOOFTHBI,"Rollinson, Njal and Holt, Sarah M. and Massey, Melanie D. and Holt, Richard C. and Nancekivell, E. Graham and Brooks, Ronald J.",A new method of estimating thermal performance of embryonic development rate yields accurate prediction of embryonic age in wild reptile nests,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.03.008,2018,selected,background,WOS176
Shine_2018_PHYS,"Shine, Richard and Du, Wei-Guo",How frequent and important is behavioral thermoregulation by embryonic reptiles?,PHYSIOLOGY,10.1002/jez.2153,2018,selected,background,WOS176
Warner_2011_PROFTHROSOB.SC,"Warner, Daniel A. and Shine, Richard",Interactions among thermal parameters determine offspring sex under temperature-dependent sex determination,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2010.1040,2011,selected,background,WOS176
Lawson_2015_ECOLLETT,"Lawson, Callum R. and Vindenes, Yngvild and Bailey, Liam and van de Pol, Martijn",Environmental variation and population responses to global change,ECOLOGY LETTERS,10.1111/ele.12437,2015,selected,background,WOS176
Smith2018E57,ARTICLE,"Smith, D.J. and Amarasekare, P.",Toward a mechanistic understanding of thermal niche partitioning,American Naturalist,2018,selected,background,SCOPUS405
Wiliging2000315,ARTICLE,"Wiliging, C. and Seisenberger, M. and Weichmann, J.",Refrigiration systems and post-harvest performance of vegetables - Conclusions for a research system to study the effect of fluctuating climatic conditions on stored plant organs,Acta Horticulturae,2000,selected,book,SCOPUS405
Miller1974623,ARTICLE,"Miller, P.C.",COMPARISON OF SHORT-TERM EFFECTS OF THERMAL ADDITION ON PHOTO-SYNTHESIS AND PLANT-WATER STRESS IN THREE ECOSYSTEMS.,NA,1974,selected,book ,SCOPUS405
Newton2014137,BOOK,"Newton, A.C. and Pons-Khnemann, J.",Induced Resistance in Natural Ecosystems and Pathogen Population Biology: Exploiting Interactions,Induced Resistance for Plant Defense: A Sustainable Approach to Crop Protection,2014,selected,book ,SCOPUS405
Kern_2015_PHYS,"Kern, Pippa and Cramp, Rebecca L. and Seebacher, Frank and Kazerouni, Ensiyeh Ghanizadeh and Franklin, Craig E.",Plasticity of protective mechanisms only partially explains interactive effects of temperature and UVR on upper thermal limits,PHYSIOLOGY,10.1016/j.cbpa.2015.09.007,2015,selected,greater than 1 C difference,WOS176
Hallsson_2012_JOOFEVBI,"Hallsson, L. R. and Bjorklund, M.",Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2012.02512.x,2012,selected,greater than 1 C difference,WOS176
Duncan_2017_JOOFEVBI,"Duncan, A. B. and Dusi, E. and Jacob, F. and Ramsayer, J. and Hochberg, M. E. and Kaltz, O.",Hot spots become cold spots: coevolution in variable temperature environments,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12985,2017,selected,greater than 1 C difference,WOS176
Jakobs_2015_JOOFINPH,"Jakobs, Ruth and Gariepy, Tara D. and Sinclair, Brent J.",Adult plasticity of cold tolerance in a continental-temperate population of Drosophila suzukii,JOURNAL OF INSECT PHYSIOLOGY,10.1016/j.jinsphys.2015.05.003,2015,selected,greater than 1 C difference,WOS176
Picciau_2017_BOTA,"Picciau, Rosangela and Porceddu, Marco and Bacchetta, Gianluigi","Can alternating temperature, moist chilling, and gibberellin interchangeably promote the completion of germination in Clematis vitalba seeds?",BOTANY,10.1139/cjb-2017-0039,2017,selected,greater than 1 C difference,WOS176
Saxon_2018_JOOFEVBI,"Saxon, A. D. and O'Brien, E. K. and Bridle, J. R.",Temperature fluctuations during development reduce male fitness and may limit adaptive potential in tropical rainforest Drosophila,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.13231,2018,selected,greater than 1 C difference,WOS176
Devi2005181,ARTICLE,"Devi, K.U. and Sridevi, V. and Mohan, C.M. and Padmavathi, J.",Effect of high temperature and water stress on in vitro germination and growth in isolates of the entomopathogenic fungus Beauveria bassiana (Bals.) Vuillemin,Journal of Invertebrate Pathology,2005,selected,greater than 1 C difference,SCOPUS405
Duncan2011939,ARTICLE,"Duncan, A.B. and Fellous, S. and Quillery, E. and Kaltz, O.",Adaptation of Paramecium caudatum to variable conditions of temperature stress,Research in Microbiology,2011,selected,greater than 1 C difference,SCOPUS405
Ferguson2020603,ARTICLE,"Ferguson, L.V. and Sinclair, B.J.",Thermal variability and plasticity drive the outcome of a host-pathogen interaction,American Naturalist,2020,selected,greater than 1 C difference,SCOPUS405
Harada2019152,ARTICLE,"Harada, A.E. and Burton, R.S.",Ecologically relevant temperature ramping rates enhance the protective heat shock response in an intertidal ectotherm,Physiological and Biochemical Zoology,2019,selected,greater than 1 C difference,SCOPUS405
Jakobs201745,ARTICLE,"Jakobs, R. and Ahmadi, B. and Houben, S. and Gariepy, T.D. and Sinclair, B.J.",Cold tolerance of third-instar Drosophila suzukii larvae,Journal of Insect Physiology,2017,selected,greater than 1 C difference,SCOPUS405
Kohl2018989,ARTICLE,"Kohl, K.P. and Singh, N.D.",Experimental evolution across different thermal regimes yields genetic divergence in recombination fraction but no divergence in temperature associated plastic recombination,Evolution,2018,selected,greater than 1 C difference,SCOPUS405
Matias2018273,ARTICLE,"Matias, A.C. and Ribeiro, L. and Araujo, R.L. and Pouso-Ferreira, P.",Preliminary studies on haematological and plasmatic parameters in gilthead sea bream (Sparus aurata) held under day/night temperature variations,Fish Physiology and Biochemistry,2018,selected,greater than 1 C difference,SCOPUS405
Magni_2018_JOOFTHROSOIN,"Magni, Stefano and Succurro, Antonella and Skupin, Alexander and Ebenhoeh, Oliver",Data-driven dynamical model indicates that the heat shock response in Chlamydomonas reinhardtii is tailored to handle natural temperature variation,JOURNAL OF THE ROYAL SOCIETY INTERFACE,10.1098/rsif.2017.0965,2018,selected,modeling,WOS176
Richter.Boix_2015_EVOL,"Richter-Boix, Alex and Katzenberger, Marco and Duarte, Helder and Quintela, Maria and Tejedo, Miguel and Laurila, Anssi",Local divergence of thermal reaction norms among amphibian populations is affected by pond temperature variation,EVOLUTION,10.1111/evo.12711,2015,selected,modeling,WOS176
Beck.Johnson_2017_ROYASOCIOPENSCIE,"Beck-Johnson, Lindsay M. and Nelson, William A. and Paaijmans, Krijn P. and Read, Andrew F. and Thomas, Matthew B. and Bjornstad, Ottar N.",The importance of temperature fluctuations in understanding mosquito population dynamics and malaria risk,ROYAL SOCIETY OPEN SCIENCE,10.1098/rsos.160969,2017,selected,modeling,WOS176
Leonard_2020_BMCEVOBIO,"Leonard, Aoife M. and Lancaster, Lesley T.",Maladaptive plasticity facilitates evolution of thermal tolerance during an experimental range shift,BMC EVOLUTIONARY BIOLOGY,10.1186/s12862-020-1589-7,2020,selected,modeling,WOS176
Sinclair_2016_ECOLLETT,"Sinclair, Brent J. and Marshall, Katie E. and Sewell, Mary A. and Levesque, Danielle L. and Willett, Christopher S. and Slotsbo, Stine and Dong, Yunwei and Harley, Christopher D. G. and Marshall, David J. and Helmuth, Brian S. and Huey, Raymond B.",Can we predict ectotherm responses to climate change using thermal performance curves and body temperatures?,ECOLOGY LETTERS,10.1111/ele.12686,2016,selected,modeling,WOS176
Vico_2019_PLACELANDENV,"Vico, Giulia and Way, Danielle A. and Hurry, Vaughan and Manzoni, Stefano",Can leaf net photosynthesis acclimate to rising and more variable temperatures?,PLANT CELL AND ENVIRONMENT,10.1111/pce.13525,2019,selected,modelling,WOS176
Zidon_2016_ECOLAPPL,"Zidon, Royi and Tsueda, Hirotsugu and Morin, Efrat and Morin, Shai",Projecting pest population dynamics under global warming: the combined effect of inter- and intra-annual variations,ECOLOGICAL APPLICATIONS,10.1890/15-1045,2016,selected,modelling,WOS176
BUATOIS_1991_JOOFTHBI,"BUATOIS, A and CROZE, JP","EFFECT OF VARIABILITY OF BREEDING TEMPERATURE ON THE THERMAL RESPONSES OF A POIKILOTHERMIC INSECT, THE FEMALE COCKROACH BLABERUS-CRANIIFER",JOURNAL OF THERMAL BIOLOGY,10.1016/0306-4565(91)90048-7,1991,selected,modelling,WOS176
Estay_2011_POPUECOL,"Estay, Sergio A. and Clavijo-Baquet, Sabrina and Lima, Mauricio and Bozinovic, Francisco",Beyond average: an experimental test of temperature variability on the population dynamics of Tribolium confusum,POPULATION ECOLOGY,10.1007/s10144-010-0216-7,2011,selected,modelling,WOS176
Amarasekare2015665,ARTICLE,"Amarasekare, P.",Effects of temperature on consumer-resource interactions,Journal of Animal Ecology,2015,selected,modelling,SCOPUS405
Chen20171091,ARTICLE,"Chen, M. and Fan, M. and Yuan, X. and Zhu, H.",Effect of seasonal changing temperature on the growth of phytoplankton,Mathematical Biosciences and Engineering,2017,selected,modelling,SCOPUS405
Denny2017139,ARTICLE,"Denny, M.","The fallacy of the average: On the ubiquity, utility and continuing novelty of Jensen's inequality",Journal of Experimental Biology,2017,selected,modelling,SCOPUS405
Kjrsgaard20131069,ARTICLE,"Kjrsgaard, A. and Pertoldi, C. and Loeschcke, V. and Blanckenhorn, W.U.",The effect of fluctuating temperatures during development on fitness-related traits of Scatophaga stercoraria (Diptera: Scathophagidae),Environmental Entomology,2013,selected,modelling,SCOPUS405
Amarasekare2014,ARTICLE,"Amarasekare, P. and Coutinho, R.M.",Effects of temperature on intraspecific competition in ectotherms,American Naturalist,2014,selected,modelling ,SCOPUS405
Amarasekare2020,ARTICLE,"Amarasekare, P. and Simon, M.W.",Latitudinal directionality in ectotherm invasion success,Proceedings of the Royal Society B: Biological Sciences,2020,selected,modelling ,SCOPUS405
Logan2020132,ARTICLE,"Logan, M.L. and Minnaar, I.A. and Keegan, K.M. and Clusella-Trullas, S.",The evolutionary potential of an insect invader under climate change*,Evolution,2020,selected,modelling ,SCOPUS405
Mustonen20182434,ARTICLE,"Mustonen, K.-R. and Mykr, H. and Marttila, H. and Sarremejane, R. and Veijalainen, N. and Sippel, K. and Muotka, T. and Hawkins, C.P.",Thermal and hydrologic responses to climate change predict marked alterations in boreal stream invertebrate assemblages,Global Change Biology,2018,selected,modelling ,SCOPUS405
Neta2021,ARTICLE,"Neta, A. and Gafni, R. and Elias, H. and Bar-Shmuel, N. and Shaltiel-Harpaz, L. and Morin, E. and Morin, S.",Decision support for pest management: Using field data for optimizing temperature-dependent population dynamics models,Ecological Modelling,2021,selected,modelling ,SCOPUS405
Nilsson.rtman20121340,ARTICLE,"Nilsson-rtman, V. and Stoks, R. and De Block, M. and Johansson, F.",Generalists and specialists along a latitudinal transect: Patterns of thermal adaptation in six species of damselflies,Ecology,2012,selected,modelling ,SCOPUS405
Scranton2016353,ARTICLE,"Scranton, K. and Vasseur, D.A.",Coexistence and emergent neutrality generate synchrony among competitors in fluctuating environments,Theoretical Ecology,2016,selected,modelling ,SCOPUS405
Vico20191913,ARTICLE,"Vico, G. and Way, D.A. and Hurry, V. and Manzoni, S.",Can leaf net photosynthesis acclimate to rising and more variable temperatures?,Plant Cell and Environment,2019,selected,modelling ,SCOPUS405
Wu20176173,ARTICLE,"Wu, X. and Liu, H. and Li, X. and Piao, S. and Ciais, P. and Guo, W. and Yin, Y. and Poulter, B. and Peng, C. and Viovy, N. and Vuichard, N. and Wang, P. and Huang, Y.",Higher temperature variability reduces temperature sensitivity of vegetation growth in Northern Hemisphere,Geophysical Research Letters,2017,selected,modelling ,SCOPUS405
Xu2016258,ARTICLE,"Xu, Y. and Shen, Z.-H. and Ying, L.-X. and Ciais, P. and Liu, H.-Y. and Piao, S.-L. and Wen, C. and Jiang, Y.-X.","The exposure, sensitivity and vulnerability of natural vegetation in China to climate thermal variability (1901-2013): An indicator-based approach",Ecological Indicators,2016,selected,modelling ,SCOPUS405
daSilva2017107,ARTICLE,"da Silva, G.S.F. and Ventura, D.A.D.N. and Zena, L.A. and Giusti, H. and Glass, M.L. and Klein, W.","Effects of aerial hypoxia and temperature on pulmonary breathing pattern and gas exchange in the South American lungfish, Lepidosiren paradoxa",Comparative Biochemistry and Physiology -Part A : Molecular and Integrative Physiology,2017,selected,no constant ,SCOPUS405
Zhao2014769,ARTICLE,"Zhao, F. and Zhang, W. and Hoffmann, A.A. and Ma, C.-S.","Night warming on hot days produces novel impacts on development, survival and reproduction in a small arthropod",Journal of Animal Ecology,2014,selected,no constant ,SCOPUS405
Aichelman2019,ARTICLE,"Aichelman, H.E. and Zimmerman, R.C. and Barshis, D.J.",Adaptive signatures in thermal performance of the temperate coral Astrangia poculata,Journal of Experimental Biology,2019,selected,no constant/flux,SCOPUS405
Alba2016837,ARTICLE,"Alba, C. and Moravcov, L. and Pyek, P.","Geographic structuring and transgenerational maternal effects shape germination in native, but not introduced, populations of a widespread plant invader",American Journal of Botany,2016,selected,no constant/flux,SCOPUS405
Bakiera2019126,ARTICLE,"Bakiera, S. and Gvodk, L.",Repeatability of thermal reaction norms for spontaneous locomotor activity in juvenile newts,Journal of Thermal Biology,2019,selected,no constant/flux,SCOPUS405
Barria2018,ARTICLE,"Barria, A.M. and Bacigalupe, L.D. and Lagos, N.A. and Lardies, M.A.",Thermal physiological traits and plasticity of metabolism are sensitive to biogeographic breaks in a rock-pool marine shrimp,Journal of Experimental Biology,2018,selected,no constant/flux,SCOPUS405
Becker2020,ARTICLE,"Becker, D.M. and Silbiger, N.J.",Nutrient and sediment loading affect multiple facets of functionality in a tropical branching coral,Journal of Experimental Biology,2020,selected,no constant/flux,SCOPUS405
Ben.Horin2013161,ARTICLE,"Ben-Horin, T. and Lenihan, H.S. and Lafferty, K.D.",Variable intertidal temperature explains why disease endangers black abalone,Ecology,2013,selected,no constant/flux,SCOPUS405
Bernard2013232,ARTICLE,"Bernard, F. and Sache, I. and Suffert, F. and Chelle, M.",The development of a foliar fungal pathogen does react to leaf temperature!,New Phytologist,2013,selected,no constant/flux,SCOPUS405
Boixel201942,ARTICLE,"Boixel, A.-L. and Delestre, G. and Legeay, J. and Chelle, M. and Suffert, F.","Phenotyping Thermal Responses of Yeasts and Yeast-like Microorganisms at the Individual and Population Levels: Proof-of-Concept, Development and Application of an Experimental Framework to a Plant Pathogen",Microbial Ecology,2019,selected,no constant/flux,SCOPUS405
Butler2013761,ARTICLE,"Butler, M.W. and Stahlschmidt, Z.R. and Ardia, D.R. and Davies, S. and Davis, J. and Guillette Jr., L.J. and Johnson, N. and McCormick, S.D. and McGraw, K.J. and DeNardo, D.F.",Thermal sensitivity of immune function: Evidence against a generalist-specialist trade-off among endothermic and ectothermic vertebrates,American Naturalist,2013,selected,no constant/flux,SCOPUS405
Cameron2018635,ARTICLE,"Cameron, S.F. and Wheatley, R. and Wilson, R.S.","Sex-specific thermal sensitivities of performance and activity in the asian house gecko, Hemidactylus frenatus","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology",2018,selected,no constant/flux,SCOPUS405
Christie201747,ARTICLE,"Christie, N.E. and Geist, N.R.",Temperature effects on development and phenotype in a free-living population of western pond turtles (Emys marmorata),Physiological and Biochemical Zoology,2017,selected,no constant/flux,SCOPUS405
Clay20171,ARTICLE,"Clay, T.A. and Gifford, M.E.",Population level differences in thermal sensitivity of energy assimilation in terrestrial salamanders,Journal of Thermal Biology,2017,selected,no constant/flux,SCOPUS405
CoelhoJr.2013799,ARTICLE,"Coelho Jr., A. and Parra, J.R.P.",The effect of rearing in different temperature regimes on the reproduction of Anagasta kuehniella (Lepidoptera: Pyralidae),Environmental Entomology,2013,selected,no constant/flux,SCOPUS405
Condon20103705,ARTICLE,"Condon, C.H. and Chenoweth, S.F. and Wilson, R.S.",Zebrafish take their cue from temperature but not photoperiod for the seasonal plasticity of thermal performance,Journal of Experimental Biology,2010,selected,no constant/flux,SCOPUS405
Coombes20171034,ARTICLE,"Coombes, M.A. and Viles, H.A. and Naylor, L.A. and La Marca, E.C.",Cool barnacles: Do common biogenic structures enhance or retard rates of deterioration of intertidal rocks and concrete?,Science of the Total Environment,2017,selected,no constant/flux,SCOPUS405
Cox2020,ARTICLE,"Cox, C.L. and Tribble, H.O. and Richardson, S. and Chung, A.K. and Curlis, J.D. and Logan, M.L.","Thermal ecology and physiology of an elongate and semi-fossorial arthropod, the bark centipede",Journal of Thermal Biology,2020,selected,no constant/flux,SCOPUS405
Gao20118733,ARTICLE,"Gao, W.J. and Leung, K.T. and Qin, W.S. and Liao, B.Q.",Effects of temperature and temperature shock on the performance and microbial community structure of a submerged anaerobic membrane bioreactor,Bioresource Technology,2011,selected,no constant/flux,SCOPUS405
Gehman2018744,ARTICLE,"Gehman, A.-L.M. and Hall, R.J. and Byers, J.E.",Host and parasite thermal ecology jointly determine the effect of climate warming on epidemic dynamics,Proceedings of the National Academy of Sciences of the United States of America,2018,selected,no constant/flux,SCOPUS405
Goldstein20151,ARTICLE,"Goldstein, J.S. and Watson, W.H., III","Influence of natural inshore and offshore thermal regimes on egg development and time of hatch in American lobsters, Homarus Americanus",Biological Bulletin,2015,selected,no constant/flux,SCOPUS405
Gould2021907,ARTICLE,"Gould, K. and Bruno, J.F. and Ju, R. and Goodbody-Gringley, G.","Upper-mesophotic and shallow reef corals exhibit similar thermal tolerance, sensitivity and optima",Coral Reefs,2021,selected,no constant/flux,SCOPUS405
Halliday2016912,ARTICLE,"Halliday, W.D. and Blouin-Demers, G.",Density-Dependent Foraging and Interference Competition by Common Gartersnakes are Temperature Dependent,Ethology,2016,selected,no constant/flux,SCOPUS405
Halliday2017206,ARTICLE,"Halliday, W.D. and Blouin-Demers, G.",A test of the thermal coadaptation hypothesis with ultimate measures of fitness in flour beetles,Journal of Thermal Biology,2017,selected,no constant/flux,SCOPUS405
Iltis2019,ARTICLE,"Iltis, C. and Loupre, P. and Pecharov, K. and Thiry, D. and Zito, S. and Bois, B. and Moreau, J.",Are life-history traits equally affected by global warming? A case study combining a multi-trait approach with fine-grain climate modeling,Journal of Insect Physiology,2019,selected,no constant/flux,SCOPUS405
Jazini20131571,ARTICLE,"Jazini, M. and Herwig, C.",Effects of temperature shifts and oscillations on recombinant protein production expressed in Escherichia coli,Bioprocess and Biosystems Engineering,2013,selected,no constant/flux,SCOPUS405
Jia201819,ARTICLE,"Jia, W. and Chen, Y. and Zhang, J. and Li, C. and Wang, Q. and Li, G. and Yang, W.",Response of greenhouse gas emissions and microbial community dynamics to temperature variation during partial nitrification,Bioresource Technology,2018,selected,no constant/flux,SCOPUS405
Logan20133093,ARTICLE,"Logan, M.L. and Huynh, R.K. and Precious, R.A. and Calsbeek, R.G.",The impact of climate change measured at relevant spatial scales: New hope for tropical lizards,Global Change Biology,2013,selected,no constant/flux,SCOPUS405
Ricci2017173,ARTICLE,"Ricci, J.N. and Morton, R. and Kulkarni, G. and Summers, M.L. and Newman, D.K.",Hopanoids play a role in stress tolerance and nutrient storage in the cyanobacterium Nostoc punctiforme,Geobiology,2017,selected,no constant/flux,SCOPUS405
Falfushynska2014339,ARTICLE,"Falfushynska, H. and Gnatyshyna, L. and Yurchak, I. and Ivanina, A. and Stoliar, O. and Sokolova, I.",Habitat pollution and thermal regime modify molecular stress responses to elevated temperature in freshwater mussels (Anodonta anatina: Unionidae),Science of the Total Environment,2014,selected,no constant/flux ,SCOPUS405
Gunderson20171529,ARTICLE,"Gunderson, A.R. and Dillon, M.E. and Stillman, J.H.",Estimating the benefits of plasticity in ectotherm heat tolerance under natural thermal variability,Functional Ecology,2017,selected,no constant/flux ,SCOPUS405
Latimer2015155,ARTICLE,"Latimer, C.A.L. and Foley, B.R. and Chenoweth, S.F.",Connecting thermal performance curve variation to the genotype: A multivariate QTL approach,Journal of Evolutionary Biology,2015,selected,no constant/flux ,SCOPUS405
LeLayec2021,ARTICLE,"Le Layec, V. and Hourdez, S.","Oxygen consumption rates in deep-sea hydrothermal vent scale worms: Effect of life-style, oxygen concentration, and temperature sensitivity",Deep-Sea Research Part I: Oceanographic Research Papers,2021,selected,no constant/flux ,SCOPUS405
Leinonen1993107,ARTICLE,"Leinonen, K. and Nygren, M. and Rita, H.",Temperature control of germination in the seeds of picea abies,Scandinavian Journal of Forest Research,1993,selected,no constant/flux ,SCOPUS405
Liefting20151057,ARTICLE,"Liefting, M. and van Grunsven, R.H.A. and Morrissey, M.B. and Timmermans, M.J.T.N. and Ellers, J.",Interplay of robustness and plasticity of life-history traits drives ecotypic differentiation in thermally distinct habitats,Journal of Evolutionary Biology,2015,selected,no constant/flux ,SCOPUS405
Lucas.Borja2011195,ARTICLE,"Lucas-Borja, M.E. and Fonseca, T. and Parresol, B.R. and Silva-Santos, P. and Garca-Morote, F.A. and Tscar-Oliver, P.A.",Modelling Spanish black pine seedling emergence: Establishing management strategies for endangered forest areas,Forest Ecology and Management,2011,selected,no constant/flux ,SCOPUS405
Martin201750,ARTICLE,"Martin, B.T. and Pike, A. and John, S.N. and Hamda, N. and Roberts, J. and Lindley, S.T. and Danner, E.M.",Phenomenological vs. biophysical models of thermal stress in aquatic eggs,Ecology Letters,2017,selected,no constant/flux ,SCOPUS405
Mei201763,ARTICLE,"Mei, M. and Lu, X.-J. and Zhang, X.-L. and Liu, G.-L. and Sun, X.-M.",Variation in carbohydrates and screening of related differential proteins during the seed germination of Magnolia sieboldii K. Koch,Trees - Structure and Function,2017,selected,no constant/flux ,SCOPUS405
Mironidis2014751,ARTICLE,"Mironidis, G.K.","Development, survivorship and reproduction of Helicoverpa armigera (Lepidoptera: Noctuidae) under fluctuating temperatures",Bulletin of Entomological Research,2014,selected,no constant/flux ,SCOPUS405
Rinehart20131081,ARTICLE,"Rinehart, J.P. and Yocum, G.D. and Kemp, W.P. and Greenlee, K.J.",A fluctuating thermal regime improves long-term survival of quiescent prepupal Megachile rotundata (Hymenoptera: Megachilidae),Journal of Economic Entomology,2013,selected,no constant/flux ,SCOPUS405
Schnurr20141370,ARTICLE,"Schnurr, M.E. and Yin, Y. and Scott, G.R.",Temperature during embryonic development has persistent effects on metabolic enzymes in the muscle of zebrafish,Journal of Experimental Biology,2014,selected,no constant/flux ,SCOPUS405
Schou2017R211,ARTICLE,"Schou, M.F. and Kristensen, T.N. and Pedersen, A. and Gran Karlsson, B. and Loeschcke, V. and Malmendal, A.",Metabolic and functional characterization of effects of developmental temperature in Drosophila melanogaster,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,2017,selected,no constant/flux ,SCOPUS405
Stamp19961088,ARTICLE,"Stamp, N.E. and Yang, Y.",Response of insect herbivores to multiple allelochemicals under different thermal regimes,Ecology,1996,selected,no constant/flux ,SCOPUS405
Stamp1997203,ARTICLE,"Stamp, N.E. and Yang, Y. and Osier, T.L.",Response of an insect predator to prey fed multiple allelochemicals under representative thermal regimes,Ecology,1997,selected,no constant/flux ,SCOPUS405
Wang2019702,ARTICLE,"Wang, T. and Keller, M.A. and Hogendoorn, K.","The effects of temperature on the development, fecundity and mortality of Eretmocerus warrae: is Eretmocerus warrae better adapted to high temperatures than Encarsia formosa?",Pest Management Science,2019,selected,no constant/flux ,SCOPUS405
Willming2016435,ARTICLE,"Willming, M.M. and Maul, J.D.",Direct and indirect toxicity of the fungicide pyraclostrobin to Hyalella azteca and effects on leaf processing under realistic daily temperature regimes,Environmental Pollution,2016,selected,no constant/flux ,SCOPUS405
Yamane200927,ARTICLE,"Yamane, L. and Gilman, S.E.",Opposite responses by an intertidal predator to increasing aquatic and aerial temperatures,Marine Ecology Progress Series,2009,selected,no constant/flux ,SCOPUS405
Yang199681,ARTICLE,"Yang, Y. and Stamp, N.E.",Simultaneous effects of temperature and multiple allelochemicals on the performance of a Solanaceae specialist caterpillar (Manduca sexta),Ecoscience,1996,selected,no constant/flux ,SCOPUS405
Bernal.Bautista_2017_REDEBITR,"Bernal-Bautista, Manuel Hernando and Turriago-Gonzalez, Jorge Luis and Villa-Navarro, Francisco Antonio",Impact of daily variable temperatures in life-history traits of tropical anurans,REVISTA DE BIOLOGIA TROPICAL,NA,2017,selected,no constant/fux,WOS176
