response_id,unique_species,study_id,origin,org_level,flux_pattern,secondary_temp,mean_temp_constant,flux_range,period_flux,resp_def,resp_units,constant_resp,flux_resp,constant_variance,flux_variance,constant_samp,flux_samp,resp_quality,variance_type,genus,species,larger_group,exp_age,size,add_covariate,add_covariate_value,extra_covariate,extra_value,environment,duration,duration_units,experiment_type,stressful,shared_control,trait_directional
2,1,kern_2015phys,Figure 2a,0,1,23,24,10,24,Umax,m * sec^-1,0.64918033,0.60983607,0.03442623,0.04754098,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,6,positive
2,1,kern_2015phys,Figure 2a,0,1,28,24,10,24,Umax,m * sec^-1,0.68852459,0.71147541,0.04098361,0.01967213,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,7,positive
2,1,kern_2015phys,Figure 2a,0,1,33,24,10,24,Umax,m * sec^-1,0.76393443,0.74098361,0.03114754,0.04918033,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,8,positive
2,1,kern_2015phys,Figure 2a,0,1,36,24,10,24,Umax,m * sec^-1,0.67540984,0.74754098,0.03278689,0.06065574,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,9,positive
2,2,kern_2015phys,Figure 2b,0,1,18.1,24,10,24,Umax,m * sec^-1,0.56816327,0.54204082,0.02285714,0.0277551,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,10,positive
2,2,kern_2015phys,Figure 2b,0,1,23.1,24,10,24,Umax,m * sec^-1,0.65632653,0.61387755,0.04897959,0.04897959,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,11,positive
2,2,kern_2015phys,Figure 2b,0,1,28,24,10,24,Umax,m * sec^-1,0.66285714,0.62040816,0.05714286,0.03102041,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,12,positive
2,2,kern_2015phys,Figure 2b,0,1,33.1,24,10,24,Umax,m * sec^-1,0.69877551,0.64653061,0.04571429,0.04081633,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,13,positive
2,2,kern_2015phys,Figure 2b,0,1,38.1,24,10,24,Umax,m * sec^-1,0.5322449,0.62367347,0.03265306,0.05714286,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,14,positive
2,3,kern_2015phys,Figure 2c,0,1,13,24,10,24,Umax,m * sec^-1,0.42089954,0.33600159,0.02612245,0.01959184,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,15,positive
2,3,kern_2015phys,Figure 2c,0,1,18,24,10,24,Umax,m * sec^-1,0.36810779,0.39749554,0.01306122,0.01306122,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,16,positive
2,3,kern_2015phys,Figure 2c,0,1,23,24,10,24,Umax,m * sec^-1,0.41980583,0.42633644,0.02612245,0.00653061,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,17,positive
2,3,kern_2015phys,Figure 2c,0,1,28.1,24,10,24,Umax,m * sec^-1,0.47150386,0.47151179,0.02122845,0.01959184,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,18,positive
2,3,kern_2015phys,Figure 2c,0,1,33,24,10,24,Umax,m * sec^-1,0.52320983,0.49382207,0.02285714,0.02775907,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,19,positive
2,3,kern_2015phys,Figure 2c,0,1,38,24,10,24,Umax,m * sec^-1,0.49980583,0.47694868,0.02285714,0.0244898,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,20,positive
2,3,kern_2015phys,Figure 2c,0,1,13,24,20,24,Umax,m * sec^-1,0.42089954,0.44702199,0.02612245,0.03918367,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,15,positive
2,3,kern_2015phys,Figure 2c,0,1,18,24,20,24,Umax,m * sec^-1,0.36810779,0.38443432,0.01306122,0.00979592,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,16,positive
2,3,kern_2015phys,Figure 2c,0,1,23,24,20,24,Umax,m * sec^-1,0.41980583,0.42633644,0.02612245,0.03265306,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,17,positive
2,3,kern_2015phys,Figure 2c,0,1,28.1,24,20,24,Umax,m * sec^-1,0.47150386,0.57925897,0.02122845,0.03428968,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,18,positive
2,3,kern_2015phys,Figure 2c,0,1,33,24,20,24,Umax,m * sec^-1,0.52320983,0.54280166,0.02285714,0.04734694,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,19,positive
2,3,kern_2015phys,Figure 2c,0,1,38,24,20,24,Umax,m * sec^-1,0.49980583,0.5389895,0.02285714,0.0277551,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,20,positive
1,1,kern_2015phys,Figure 3a,0,1,13,24,10,24,RMR,mL O2 * h^-1,0.02765957,0.02695036,0.00425532,0.00425532,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,21,negative
1,1,kern_2015phys,Figure 3a,0,1,18,24,10,24,RMR,mL O2 * h^-1,0.04397163,0.05106383,0.00673759,0.00567376,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,22,negative
1,1,kern_2015phys,Figure 3a,0,1,23,24,10,24,RMR,mL O2 * h^-1,0.0787234,0.06241135,0.00567376,0.00992908,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,23,negative
1,1,kern_2015phys,Figure 3a,0,1,28,24,10,24,RMR,mL O2 * h^-1,0.10921986,0.09858156,0.00567376,0.0070922,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,24,negative
1,1,kern_2015phys,Figure 3a,0,1,33,24,10,24,RMR,mL O2 * h^-1,0.10921986,0.11702128,0.00744681,0.00957447,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,25,negative
1,1,kern_2015phys,Figure 3a,0,1,36,24,10,24,RMR,mL O2 * h^-1,0.1212766,0.09432624,0.00496454,0.01099291,7,7,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,n,26,negative
1,2,kern_2015phys,Figure 3b,0,1,18,24,10,24,RMR,mL O2 * h^-1,0.03687943,0.05957447,0.00283688,0.00638298,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,n,27,negative
1,2,kern_2015phys,Figure 3b,0,1,23,24,10,24,RMR,mL O2 * h^-1,0.09574468,0.08652482,0.00602837,0.00567376,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,n,28,negative
1,2,kern_2015phys,Figure 3b,0,1,28.1,24,10,24,RMR,mL O2 * h^-1,0.11347518,0.10851064,0.00496454,0.00460993,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,n,29,negative
1,2,kern_2015phys,Figure 3b,0,1,33,24,10,24,RMR,mL O2 * h^-1,0.1212766,0.12340426,0.00212766,0.01347518,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,n,30,negative
1,2,kern_2015phys,Figure 3b,0,1,38,24,10,24,RMR,mL O2 * h^-1,0.13049645,0.16099291,0.01595745,0.00851064,7,7,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,n,31,negative
1,3,kern_2015phys,Figure 3c,0,1,13,24,10,24,RMR,mL O2 * h^-1,0.02269504,0.02978723,0.00390071,0.00319149,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,32,negative
1,3,kern_2015phys,Figure 3c,0,1,18,24,10,24,RMR,mL O2 * h^-1,0.02340426,0.02624114,0.00567376,0.00319149,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,33,negative
1,3,kern_2015phys,Figure 3c,0,1,23,24,10,24,RMR,mL O2 * h^-1,0.04680851,0.04680851,0.00638298,0.00567376,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,34,negative
1,3,kern_2015phys,Figure 3c,0,1,28.1,24,10,24,RMR,mL O2 * h^-1,0.05106383,0.05673759,0.00283688,0.00460993,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,35,negative
1,3,kern_2015phys,Figure 3c,0,1,33,24,10,24,RMR,mL O2 * h^-1,0.07092199,0.07092199,0.00283688,0.0035461,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,36,negative
1,3,kern_2015phys,Figure 3c,0,1,38,24,10,24,RMR,mL O2 * h^-1,0.07375887,0.07943262,0.00425532,0.00567376,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,37,negative
1,3,kern_2015phys,Figure 3c,0,1,13,24,20,24,RMR,mL O2 * h^-1,0.02269504,0.02978723,0.00390071,0.00248227,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,32,negative
1,3,kern_2015phys,Figure 3c,0,1,18,24,20,24,RMR,mL O2 * h^-1,0.02340426,0.02553192,0.00567376,0.00212766,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,33,negative
1,3,kern_2015phys,Figure 3c,0,1,23,24,20,24,RMR,mL O2 * h^-1,0.04680851,0.03546099,0.00638298,0.00460993,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,34,negative
1,3,kern_2015phys,Figure 3c,0,1,28.1,24,20,24,RMR,mL O2 * h^-1,0.05106383,0.05815603,0.00283688,0.00460993,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,35,negative
1,3,kern_2015phys,Figure 3c,0,1,33,24,20,24,RMR,mL O2 * h^-1,0.07092199,0.08794326,0.00283688,0.00212766,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,36,negative
1,3,kern_2015phys,Figure 3c,0,1,38,24,20,24,RMR,mL O2 * h^-1,0.07375887,0.07588653,0.00425532,0.0035461,7,7,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,n,37,negative
3,1,kern_2015phys,Figure 4a,0,1,13,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,9.91304781,12.9433131,3.03026534,1.08223762,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,38,negative
3,1,kern_2015phys,Figure 4a,0,1,18,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,12.4382689,20.2303798,2.59737029,2.59737029,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,39,negative
3,1,kern_2015phys,Figure 4a,0,1,23,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,16.6950702,31.4135019,2.81381781,3.89605543,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,40,negative
3,1,kern_2015phys,Figure 4a,0,1,28.1,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,24.4150319,43.896553,4.32895048,4.97829305,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,41,negative
3,1,kern_2015phys,Figure 4a,0,1,33,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,34.3007128,58.5415915,5.62763562,6.27697819,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,43,negative
3,1,kern_2015phys,Figure 4a,0,1,38,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,43.3193596,71.0233987,6.06053067,6.92632077,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,42,negative
4,1,kern_2015phys,Figure 4b,0,1,13,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,1.15151515,1.33333333,0.18181818,0.18181818,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,43,negative
4,1,kern_2015phys,Figure 4b,0,1,18,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,1.39393939,1.75757576,0.18181818,0.24242424,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,44,negative
4,1,kern_2015phys,Figure 4b,0,1,23,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,1.81818182,2.24242424,0.18181818,0.18181818,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,45,negative
4,1,kern_2015phys,Figure 4b,0,1,28.1,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,2.3030303,2.78787879,0.24242424,0.21212121,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,46,negative
4,1,kern_2015phys,Figure 4b,0,1,33,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,2.84848485,3.51515152,0.15151515,0.21212121,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,47,negative
4,1,kern_2015phys,Figure 4b,0,1,38,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,3.63636364,4.24242424,0.36363636,0.75757576,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,48,negative
5,1,kern_2015phys,Figure 4c,0,1,13.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,0.99137931,0.92672414,0.16163793,0.10775862,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,49,negative
5,1,kern_2015phys,Figure 4c,0,1,18.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,1.27155172,1.42241379,0.06465517,0.12931035,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,50,negative
5,1,kern_2015phys,Figure 4c,0,1,23.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,1.74568966,1.85344828,0.12931035,0.0862069,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,51,negative
5,1,kern_2015phys,Figure 4c,0,1,27.9310345,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,2.56465517,2.5,0.17241379,0.10775862,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,52,negative
5,1,kern_2015phys,Figure 4c,0,1,32.9310345,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,2.95258621,2.80172414,0.17241379,0.15086207,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,53,negative
5,1,kern_2015phys,Figure 4c,0,1,37.9310345,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,2.52155172,2.67241379,0.17241379,0.12931035,10,10,1,0,Limnodynastes,peronii,1,1,2,,,,,aquatic,103.17,days,acclimation,y,54,negative
3,2,kern_2015phys,Figure 4d,0,1,13.0259366,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,9.25476516,17.149502,1.31578947,3.07017544,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,55,negative
3,2,kern_2015phys,Figure 4d,0,1,18.0403458,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,15.4684261,25.9947419,2.4122807,4.38596491,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,56,negative
3,2,kern_2015phys,Figure 4d,0,1,22.9682997,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,22.1194196,38.7860863,3.50877193,6.14035088,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,57,negative
3,2,kern_2015phys,Figure 4d,0,1,27.9827089,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,31.8418525,57.280449,4.8245614,8.55326356,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,58,negative
3,2,kern_2015phys,Figure 4d,0,1,32.9971182,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,42.4414783,74.0204257,6.14035088,10.745614,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,59,negative
3,2,kern_2015phys,Figure 4d,0,1,38.0115274,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,51.2867182,89.444613,7.23684211,11.8421053,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,60,negative
4,2,kern_2015phys,Figure 4e,0,1,13.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,2.79384091,4.40446038,0.15486726,0.65044248,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,61,negative
4,2,kern_2015phys,Figure 4e,0,1,18.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,3.60947513,5.65372292,0.27876106,0.61946903,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,62,negative
4,2,kern_2015phys,Figure 4e,0,1,22.9310345,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,4.92050656,7.64634829,0.34070797,0.99115044,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,63,negative
4,2,kern_2015phys,Figure 4e,0,1,28.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,6.29384091,9.20534534,0.46460177,1.17699115,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,64,negative
4,2,kern_2015phys,Figure 4e,0,1,33.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,7.79089106,12.0652273,0.55752212,1.36283186,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,65,negative
4,2,kern_2015phys,Figure 4e,0,1,38.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,9.28794121,12.6950209,0.65044248,1.57964602,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,66,negative
5,2,kern_2015phys,Figure 4f,0,1,13.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,1.08225108,1.7965368,0.10822511,0.20562771,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,67,negative
5,2,kern_2015phys,Figure 4f,0,1,18.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,1.55844156,2.5974026,0.14069264,0.29220779,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,68,negative
5,2,kern_2015phys,Figure 4f,0,1,23.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,1.77489178,3.03030303,0.14069264,0.34632035,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,69,negative
5,2,kern_2015phys,Figure 4f,0,1,28.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,2.38095238,3.85281385,0.20562771,0.38961039,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,70,negative
5,2,kern_2015phys,Figure 4f,0,1,33.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,2.05627706,3.72294372,0.23809524,0.38961039,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,71,negative
5,2,kern_2015phys,Figure 4f,0,1,38.0172414,24,10,24,CCO activity,umol ^-1 * g^-1 *min^-1,0.97402597,2.68398268,0.05411255,0.47619048,10,10,1,0,Limnodynastes,tasmaniensis,1,1,2,,,,,aquatic,178.68,days,acclimation,y,72,negative
3,3,kern_2015phys,Figure 4g,0,1,13.0259366,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,7.35930736,13.4199134,0.86580087,1.2987013,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,73,negative
3,3,kern_2015phys,Figure 4g,0,1,18.0403458,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,12.1212121,15.1515152,1.73160173,1.51515152,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,74,negative
3,3,kern_2015phys,Figure 4g,0,1,23.054755,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,19.9134199,22.0779221,2.81385281,1.51515152,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,75,negative
3,3,kern_2015phys,Figure 4g,0,1,27.9827089,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,29.4372294,32.9004329,3.67965368,1.51515152,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,76,negative
3,3,kern_2015phys,Figure 4g,0,1,32.9971182,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,41.1255411,41.5584416,4.32900433,3.8961039,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,77,negative
3,3,kern_2015phys,Figure 4g,0,1,38.0115274,24,10,24,LDH activity,umol ^-1 * g^-1 *min^-1,50.6493507,51.948052,2.16450217,3.46320346,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,78,negative
3,3,kern_2015phys,Figure 4g,0,1,13.0259366,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,7.35930736,7.79220779,0.86580087,1.73160173,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,73,negative
3,3,kern_2015phys,Figure 4g,0,1,18.0403458,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,12.1212121,14.2857143,1.73160173,2.16450217,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,74,negative
3,3,kern_2015phys,Figure 4g,0,1,23.054755,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,19.9134199,21.2121212,2.81385281,2.38095238,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,75,negative
3,3,kern_2015phys,Figure 4g,0,1,27.9827089,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,29.4372294,32.034632,3.67965368,3.03030303,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,76,negative
3,3,kern_2015phys,Figure 4g,0,1,32.9971182,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,41.1255411,41.5584416,4.32900433,4.11255411,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,77,negative
3,3,kern_2015phys,Figure 4g,0,1,38.0115274,24,20,24,LDH activity,umol ^-1 * g^-1 *min^-1,50.6493507,48.9177489,2.16450217,2.81385281,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,78,negative
4,3,kern_2015phys,Figure 4h,0,1,13.0172414,24,10,24,CS activity,umol ^-1 * g^-1 *min^-1,2.66666667,1.93939394,0.18181818,0.24242424,10,10,1,0,Platyplectrum,ornatum,1,1,2,,,,,aquatic,27.675,days,acclimation,y,79,negative
